company_size,annual_revenue_k,website_visits_30d,email_opens_30d,demo_requests_30d,form_submissions_30d,days_since_last_contact,lead_source,industry,decision_maker_engaged,converted
50,237.83,9,3,0,2,27,social,ecommerce,True,0
634,271.42,10,3,0,0,8,paid_search,healthcare,False,0
19,265.89,13,7,0,1,0,referral,healthcare,False,0
49,289.53,15,2,0,1,34,organic,healthcare,False,0
17,487.25,13,3,1,2,11,organic,saas,False,0
40,137.0,10,4,0,2,6,social,saas,True,0
41,1457.33,13,6,0,1,65,referral,saas,False,1
107,426.32,11,2,1,0,17,referral,ecommerce,True,1
38,5878.96,16,6,0,0,9,social,saas,True,1
47,152.39,11,2,0,2,39,referral,services,False,0
39,2415.99,11,9,0,1,25,referral,healthcare,False,1
18,1980.98,9,3,2,1,7,referral,healthcare,False,1
32,326.46,8,6,0,0,114,paid_search,ecommerce,True,0
40,331.94,16,3,0,0,33,organic,ecommerce,True,1
58,196.12,16,3,0,1,1,paid_search,healthcare,False,0
85,198.38,6,9,2,3,25,organic,ecommerce,True,1
45,492.45,8,6,2,0,7,paid_search,ecommerce,True,0
45,503.05,15,4,1,0,23,outbound,ecommerce,False,0
14,99.25,14,4,0,0,49,organic,healthcare,False,0
84,4882.95,6,1,1,1,16,organic,services,True,1
31,380.12,14,8,0,4,28,paid_search,saas,True,1
99,526.16,20,8,0,1,5,paid_search,healthcare,False,1
157,263.42,10,6,1,0,25,social,saas,False,0
47,377.28,20,2,0,0,10,referral,ecommerce,True,0
24,344.51,12,6,0,2,50,social,finance,False,0
54,491.31,11,4,0,2,20,social,saas,False,1
72,485.61,6,4,0,3,6,paid_search,healthcare,False,0
42,1101.98,23,5,1,2,32,outbound,ecommerce,False,0
35,618.45,13,4,0,2,48,organic,saas,False,0
86,996.53,8,5,1,1,10,organic,services,False,0
81,487.94,9,3,1,0,41,organic,ecommerce,False,0
41,620.95,17,4,0,1,45,social,finance,True,0
15,387.1,9,10,2,1,89,paid_search,ecommerce,False,1
79,1343.61,22,4,1,0,16,organic,services,True,1
30,680.36,8,3,0,1,3,referral,ecommerce,False,1
65,420.7,16,2,2,1,33,organic,ecommerce,False,1
62,408.34,8,1,0,1,29,social,finance,False,0
12,441.76,13,3,0,1,10,paid_search,ecommerce,False,0
58,507.98,16,5,1,1,9,paid_search,ecommerce,False,0
82,465.75,18,3,0,1,1,paid_search,services,True,1
91,281.79,12,2,0,0,26,referral,healthcare,True,0
60,1058.81,12,3,1,0,10,paid_search,finance,False,0
11,1127.86,16,2,3,0,12,organic,healthcare,False,1
152,2933.22,13,3,1,2,3,organic,services,False,0
76,269.45,11,4,0,0,38,outbound,services,False,0
21,959.53,11,2,0,0,89,outbound,healthcare,False,0
29,73.03,12,2,0,1,3,social,ecommerce,False,0
66,1128.95,12,4,0,0,17,paid_search,saas,False,0
94,114.83,5,6,0,1,16,outbound,healthcare,False,1
37,184.13,7,1,0,0,54,social,services,False,0
106,686.93,13,4,2,3,6,social,ecommerce,True,0
13,264.67,6,3,1,2,54,paid_search,saas,False,0
24,230.82,12,2,0,0,24,paid_search,ecommerce,False,0
10,303.44,8,2,0,3,57,organic,healthcare,False,1
27,1022.11,14,3,0,1,19,outbound,services,True,0
182,193.85,16,8,2,1,17,paid_search,saas,True,1
283,466.77,13,4,1,3,36,organic,healthcare,False,0
66,337.43,12,3,1,0,4,paid_search,finance,False,0
33,1118.66,12,4,0,0,0,referral,services,True,1
46,1150.47,10,3,0,1,14,organic,saas,False,0
80,78.63,10,6,0,2,87,outbound,services,False,0
16,1401.24,6,5,1,1,1,social,healthcare,True,1
35,267.53,7,5,2,2,30,social,finance,True,0
172,624.09,8,3,1,1,22,paid_search,saas,False,0
24,192.69,14,5,0,1,14,referral,healthcare,False,0
30,714.18,8,5,2,1,35,referral,healthcare,False,0
55,6319.21,4,7,2,2,30,referral,ecommerce,False,1
68,559.57,11,6,1,0,14,organic,ecommerce,False,0
33,311.11,11,4,0,1,2,paid_search,healthcare,False,0
58,390.66,18,6,0,0,113,organic,healthcare,False,0
89,113.41,15,6,2,2,3,referral,saas,False,1
262,2098.47,12,3,0,2,27,paid_search,ecommerce,False,0
49,673.77,11,2,0,1,15,organic,saas,False,0
53,172.62,13,3,0,0,5,organic,services,True,1
185,178.34,10,6,0,1,19,referral,services,False,0
35,500.34,10,4,1,3,22,organic,ecommerce,False,0
19,1251.37,17,2,1,2,24,outbound,saas,True,0
67,155.87,10,3,0,1,4,referral,saas,False,1
129,1500.28,13,3,2,3,13,paid_search,healthcare,False,0
73,449.6,12,5,0,2,5,referral,services,True,0
51,194.37,10,2,1,2,1,organic,healthcare,False,0
17,308.68,10,4,1,2,7,outbound,saas,False,0
52,2831.48,10,4,1,1,10,referral,saas,False,0
146,122.95,8,3,0,2,22,social,saas,True,0
20,237.01,8,1,0,0,12,organic,services,True,1
45,1277.4,13,6,1,0,13,referral,healthcare,False,0
40,611.83,15,5,0,0,5,referral,healthcare,True,0
31,223.35,12,3,1,0,3,outbound,ecommerce,False,0
67,1293.09,9,1,0,1,1,referral,services,True,0
78,1356.0,19,6,0,3,20,referral,ecommerce,True,1
77,686.35,12,3,1,0,5,paid_search,services,True,0
25,267.09,15,2,3,3,94,paid_search,services,False,1
15,311.59,10,2,1,1,4,referral,healthcare,False,0
67,655.03,11,4,3,2,14,paid_search,services,False,0
36,132.7,10,2,0,0,14,organic,ecommerce,False,0
238,1858.98,14,3,0,1,1,outbound,finance,False,1
247,2697.85,12,3,0,2,36,outbound,saas,False,0
268,389.18,18,0,1,0,25,organic,healthcare,False,0
26,703.53,13,3,0,2,19,referral,saas,True,1
86,1612.92,13,4,0,0,8,organic,saas,False,0
110,3482.69,12,2,1,0,10,social,saas,False,1
100,2337.84,6,6,2,3,1,paid_search,ecommerce,False,1
41,86.87,21,2,0,2,30,social,healthcare,False,0
152,359.4,13,7,0,1,21,social,ecommerce,False,0
55,812.97,19,4,0,0,17,social,ecommerce,False,0
60,300.6,10,8,0,0,2,organic,services,True,0
16,2930.03,14,5,0,3,34,outbound,services,False,0
91,2513.36,11,3,0,0,17,organic,saas,False,0
44,217.91,12,3,0,0,26,organic,ecommerce,True,0
79,418.89,14,7,1,2,10,referral,healthcare,False,1
66,232.86,19,5,1,1,1,paid_search,finance,False,0
63,405.4,17,5,2,0,31,outbound,ecommerce,False,0
53,393.3,12,2,0,0,36,outbound,finance,False,0
102,1279.54,15,4,0,0,15,paid_search,saas,False,0
47,202.66,11,4,0,3,1,outbound,ecommerce,False,0
17,35.99,9,1,1,1,103,paid_search,finance,False,0
86,99.03,9,5,2,0,6,referral,healthcare,False,1
29,176.21,12,5,0,1,125,paid_search,services,False,0
19,255.78,11,3,0,0,23,outbound,saas,False,0
24,594.18,15,6,3,3,39,organic,saas,False,0
68,167.37,9,4,1,1,9,organic,saas,True,0
51,146.77,14,5,0,0,15,paid_search,saas,False,1
10,194.52,15,3,2,3,24,outbound,saas,False,1
40,161.47,8,2,0,1,1,outbound,healthcare,True,0
139,283.02,8,1,0,1,41,social,healthcare,False,0
38,271.16,14,2,0,0,35,outbound,finance,False,0
48,981.48,13,8,0,1,1,outbound,ecommerce,False,0
126,183.18,17,7,1,1,1,referral,saas,False,0
103,344.61,9,6,0,2,12,paid_search,finance,False,0
124,285.71,16,5,0,0,14,social,saas,True,0
6,1106.42,6,3,0,0,56,social,services,False,0
219,422.3,13,1,0,2,0,paid_search,saas,False,1
91,1409.09,10,4,0,1,2,organic,healthcare,False,0
391,155.65,14,0,0,3,6,social,services,False,0
29,469.01,13,6,0,2,12,paid_search,healthcare,False,1
13,277.03,9,3,0,2,17,outbound,healthcare,True,0
55,144.6,14,3,0,0,14,organic,finance,True,1
44,460.58,6,2,0,1,46,organic,saas,False,1
92,2787.58,14,4,0,0,25,outbound,finance,False,1
129,210.0,12,10,1,0,8,organic,services,False,0
51,433.78,18,4,4,0,4,organic,services,False,1
45,132.66,4,2,0,2,77,referral,ecommerce,False,0
83,114.52,8,2,0,1,19,outbound,ecommerce,False,0
44,224.25,12,4,1,2,47,organic,finance,False,0
42,314.2,14,6,1,1,5,paid_search,healthcare,False,0
125,328.46,12,7,0,1,58,social,ecommerce,False,0
150,393.06,11,6,1,0,14,outbound,saas,False,0
130,94.79,8,5,0,0,39,referral,saas,False,1
48,263.5,6,1,0,0,2,organic,ecommerce,False,0
10,813.84,15,2,2,1,72,organic,saas,True,0
48,126.69,11,3,1,0,55,organic,saas,True,1
30,345.45,9,4,0,0,14,organic,saas,False,0
49,660.4,11,5,0,0,11,social,services,False,0
32,225.37,14,3,0,0,8,organic,saas,False,0
54,693.34,8,7,0,0,18,referral,saas,False,1
24,107.65,11,6,0,1,73,social,ecommerce,False,0
20,1198.05,14,4,1,3,11,referral,saas,False,1
145,710.38,14,4,1,0,3,organic,services,True,0
25,520.96,8,5,2,1,8,outbound,services,False,0
55,1517.5,10,4,0,1,17,social,ecommerce,False,0
117,354.48,7,4,0,2,6,social,ecommerce,False,0
113,265.64,7,6,0,3,27,organic,ecommerce,False,1
103,1944.08,9,2,1,0,24,organic,saas,False,1
70,3104.99,10,2,1,0,6,outbound,ecommerce,True,0
97,246.3,12,2,0,5,5,paid_search,saas,False,0
164,439.77,13,7,0,1,14,paid_search,saas,False,0
77,1401.14,14,4,0,3,32,referral,healthcare,False,0
13,455.71,12,2,0,0,2,social,saas,False,0
36,893.0,15,6,1,1,17,outbound,saas,True,1
95,1075.35,14,3,1,2,13,paid_search,healthcare,False,0
33,280.81,12,4,0,1,89,outbound,ecommerce,True,0
200,749.4,10,5,0,0,62,organic,saas,False,0
52,489.71,13,1,0,1,16,referral,saas,True,1
58,145.93,12,3,0,0,11,referral,saas,False,0
134,183.16,12,5,0,1,33,organic,saas,False,0
47,256.62,13,5,1,0,10,organic,services,True,0
63,1247.03,12,4,1,1,8,paid_search,services,False,0
112,1288.66,9,5,0,1,17,outbound,ecommerce,False,0
17,1043.06,9,6,1,3,11,referral,ecommerce,True,1
43,765.18,12,6,1,3,44,outbound,finance,False,0
106,744.58,11,0,0,3,24,outbound,healthcare,True,0
58,650.38,16,8,0,1,3,paid_search,saas,False,0
177,740.7,8,3,0,1,11,social,saas,True,0
15,792.63,13,2,0,1,47,organic,ecommerce,True,0
14,120.97,13,0,0,1,30,organic,healthcare,False,0
101,223.58,11,5,1,3,18,outbound,saas,True,1
109,176.1,12,5,0,0,29,social,ecommerce,True,0
47,1490.91,12,2,0,0,23,organic,ecommerce,True,0
75,2576.28,13,4,0,0,76,referral,ecommerce,False,0
99,56.31,15,4,1,1,75,referral,ecommerce,False,0
28,2356.22,17,5,0,1,28,outbound,finance,True,0
31,537.39,12,5,0,0,10,referral,healthcare,False,1
64,1356.58,7,3,0,2,2,paid_search,saas,False,0
113,817.68,20,3,1,0,1,paid_search,saas,False,1
21,2080.57,6,1,0,0,47,paid_search,services,True,0
47,607.74,10,2,0,0,30,social,healthcare,False,0
45,126.03,12,1,1,2,11,outbound,saas,False,0
76,443.33,12,4,0,1,18,paid_search,ecommerce,True,0
54,825.22,14,3,2,5,35,organic,services,False,1
35,397.04,13,0,1,2,20,organic,finance,False,0
148,951.21,10,4,1,1,10,social,services,True,1
35,461.42,19,5,1,0,24,outbound,healthcare,False,0
43,271.64,12,5,0,1,10,organic,ecommerce,False,0
15,166.34,12,2,0,1,16,organic,ecommerce,False,0
31,333.01,16,5,0,5,5,referral,saas,True,1
83,604.6,11,5,1,1,10,organic,finance,False,0
71,69.45,15,2,0,0,7,outbound,healthcare,False,1
88,225.86,12,3,1,1,25,paid_search,saas,False,0
85,66.91,9,6,0,2,23,organic,services,False,0
290,265.85,8,2,0,0,55,outbound,ecommerce,False,0
30,1631.6,11,5,0,4,49,organic,saas,False,0
15,150.49,16,3,1,1,26,paid_search,ecommerce,True,0
24,995.42,10,3,3,3,81,organic,services,False,0
31,8508.54,15,4,0,1,3,organic,services,False,1
25,2108.09,10,5,1,1,31,organic,healthcare,False,0
59,563.13,12,5,2,1,62,organic,services,False,0
149,1162.62,17,3,2,0,15,organic,services,False,0
187,125.25,17,2,1,0,45,organic,services,False,0
82,102.16,11,7,2,1,9,referral,services,True,0
303,507.09,10,5,0,0,15,social,ecommerce,False,0
41,734.07,12,4,1,1,23,paid_search,finance,False,0
15,1472.04,15,2,1,1,67,paid_search,healthcare,False,0
127,279.01,15,3,0,2,65,referral,finance,False,0
13,597.88,14,6,1,4,43,outbound,saas,False,0
30,577.73,13,7,1,0,3,outbound,finance,False,0
83,432.08,8,5,3,2,46,organic,services,False,0
50,458.3,12,3,0,2,98,organic,ecommerce,False,0
47,209.62,17,3,0,2,17,organic,services,True,1
21,651.78,11,1,1,3,22,organic,ecommerce,False,0
54,598.87,8,7,0,3,17,referral,saas,True,0
122,317.34,12,7,0,2,20,paid_search,saas,False,0
55,958.89,15,8,0,2,10,organic,finance,False,0
28,1377.23,5,6,1,2,90,paid_search,healthcare,False,0
20,970.08,16,5,0,1,5,referral,ecommerce,False,1
29,173.74,14,7,0,0,20,organic,healthcare,False,0
75,544.38,18,1,0,0,24,outbound,ecommerce,False,0
72,198.06,12,3,0,3,16,organic,ecommerce,True,1
29,542.7,10,2,1,0,5,outbound,services,False,0
9,198.83,8,4,1,0,36,organic,finance,False,0
76,1767.22,17,4,0,0,46,outbound,finance,False,0
27,1078.51,6,2,0,3,5,outbound,healthcare,True,1
95,1560.86,10,1,1,0,47,outbound,services,False,0
30,1410.53,15,4,2,2,18,outbound,saas,False,0
25,375.93,11,4,1,2,5,social,ecommerce,False,0
62,321.95,10,6,0,1,20,referral,saas,True,0
360,2812.2,14,5,1,3,13,social,healthcare,True,0
99,417.75,12,2,2,0,6,organic,healthcare,True,1
61,127.16,12,2,1,1,6,referral,finance,False,1
73,1349.47,13,2,0,2,34,referral,ecommerce,False,0
13,568.94,20,6,0,0,43,outbound,saas,False,1
22,2221.51,17,4,0,2,26,paid_search,healthcare,True,0
7,628.27,7,5,0,2,20,paid_search,services,False,0
218,482.99,8,6,2,0,75,referral,ecommerce,False,0
185,2266.79,14,3,0,1,2,paid_search,saas,True,1
75,105.8,21,5,1,0,2,organic,ecommerce,False,0
61,274.41,12,2,0,1,31,referral,ecommerce,True,0
16,202.88,6,4,0,3,2,paid_search,ecommerce,False,1
46,54.87,10,2,1,1,14,organic,ecommerce,False,0
229,1179.89,13,3,1,2,2,paid_search,healthcare,False,0
61,282.19,12,3,0,0,20,paid_search,ecommerce,False,0
35,1218.49,9,3,0,1,4,paid_search,ecommerce,False,0
13,727.12,12,4,0,2,9,paid_search,saas,True,0
165,904.28,15,3,0,0,45,social,services,False,0
52,312.5,11,6,1,3,0,paid_search,ecommerce,False,0
13,229.47,16,6,0,0,6,outbound,ecommerce,False,0
26,539.02,10,2,0,2,22,outbound,saas,False,1
20,1235.42,15,4,1,1,42,referral,healthcare,False,0
49,468.54,18,3,0,4,28,paid_search,services,False,0
64,244.22,15,5,0,1,37,referral,saas,True,0
37,148.56,6,4,0,2,57,outbound,saas,True,0
102,604.36,13,7,0,2,9,social,saas,True,0
58,283.14,16,5,0,0,3,outbound,healthcare,False,0
128,458.64,12,6,2,0,17,referral,services,False,1
41,388.08,9,2,1,1,13,referral,ecommerce,True,1
624,315.95,11,5,2,0,22,paid_search,ecommerce,False,1
35,661.03,8,2,0,0,10,social,finance,False,0
27,857.91,9,5,2,1,15,organic,finance,False,0
24,3516.7,15,1,0,0,3,social,saas,False,0
46,1051.49,11,3,0,1,114,outbound,saas,False,0
14,2425.23,13,8,2,1,25,organic,ecommerce,False,1
69,217.33,15,5,0,2,29,referral,finance,False,0
12,99.39,12,5,0,2,153,organic,finance,False,0
62,485.69,12,4,1,2,11,social,finance,False,0
19,1162.15,18,5,1,0,43,organic,services,False,1
40,993.43,10,3,0,1,14,outbound,ecommerce,True,1
89,1654.71,9,1,0,1,55,organic,ecommerce,True,0
345,39.0,9,2,0,0,2,outbound,saas,False,0
23,1724.99,13,3,1,0,9,outbound,services,False,0
48,689.15,7,5,2,2,6,referral,healthcare,True,1
31,105.21,15,7,1,0,6,social,ecommerce,False,1
27,1015.9,18,4,1,1,11,social,saas,False,0
31,583.76,9,5,2,0,18,outbound,finance,False,1
106,721.43,14,7,0,0,4,paid_search,finance,False,0
37,1338.24,14,3,2,0,46,referral,finance,False,1
330,757.69,9,4,0,2,18,organic,saas,False,0
76,112.98,13,3,0,2,19,referral,services,False,1
24,427.08,9,6,1,0,6,organic,finance,True,1
41,97.74,15,3,0,0,30,referral,finance,True,1
29,943.0,5,2,1,1,3,referral,finance,False,0
104,1994.14,16,4,2,1,40,paid_search,services,True,1
15,142.39,12,3,0,1,19,referral,services,True,0
19,251.78,7,5,0,3,2,social,healthcare,False,0
34,203.9,10,4,0,1,6,social,ecommerce,False,0
94,312.97,12,6,0,0,16,referral,ecommerce,True,0
146,744.28,11,4,1,0,10,referral,services,False,0
165,316.38,8,5,1,0,24,outbound,healthcare,True,1
83,946.27,12,5,0,2,9,organic,saas,False,1
51,1429.93,9,4,1,1,38,organic,saas,False,0
103,1482.91,9,4,0,2,26,organic,services,False,0
22,161.07,16,4,0,2,19,social,services,True,1
12,1970.28,13,3,0,1,40,paid_search,services,False,0
77,2134.68,8,4,1,1,5,social,ecommerce,False,0
24,2327.8,12,4,0,1,19,social,finance,False,1
52,420.81,7,3,1,0,38,paid_search,services,False,0
60,232.33,12,7,0,1,13,outbound,ecommerce,False,0
67,184.15,15,1,0,1,7,social,saas,False,1
116,163.73,19,2,1,2,8,paid_search,services,False,0
106,498.54,16,3,0,0,17,paid_search,saas,True,0
64,1150.38,11,1,0,1,19,paid_search,healthcare,True,0
38,1819.94,6,3,1,2,10,organic,finance,False,0
60,303.22,12,4,0,2,48,organic,finance,False,0
34,474.05,13,5,1,2,5,outbound,ecommerce,False,1
47,443.99,21,2,0,2,4,paid_search,finance,False,0
443,261.05,15,1,1,1,40,paid_search,saas,False,1
63,1028.39,15,7,0,0,18,social,services,False,0
78,708.29,9,2,1,0,30,referral,saas,False,1
31,567.83,17,3,1,1,28,outbound,finance,False,1
123,705.08,13,3,2,1,0,social,finance,False,0
100,911.83,11,4,0,2,9,referral,saas,True,1
101,902.74,14,4,0,0,12,paid_search,saas,False,0
65,213.05,6,4,2,0,24,outbound,finance,True,1
125,1207.53,13,2,1,1,36,social,saas,False,0
151,636.11,16,2,0,0,2,outbound,saas,False,0
68,319.06,20,2,2,0,46,organic,ecommerce,True,0
50,622.8,16,3,0,3,29,outbound,services,True,0
112,695.39,16,3,0,0,6,referral,healthcare,True,0
26,1453.58,10,6,1,1,22,organic,ecommerce,False,0
31,173.1,15,6,1,0,6,referral,services,False,0
52,1853.78,13,3,0,1,45,social,ecommerce,False,0
14,504.3,11,3,1,0,28,organic,ecommerce,False,1
106,297.03,13,4,0,3,10,paid_search,ecommerce,False,0
25,288.08,12,5,4,1,1,outbound,ecommerce,True,0
37,181.02,15,5,0,1,116,paid_search,ecommerce,False,0
46,86.41,12,3,0,2,6,paid_search,finance,False,1
56,970.1,16,2,0,2,36,paid_search,saas,True,0
41,3572.02,16,5,1,2,0,paid_search,finance,False,1
52,97.75,17,2,0,0,21,outbound,saas,False,0
52,190.48,16,6,1,2,24,social,ecommerce,False,0
38,1044.8,11,5,0,0,20,organic,saas,False,0
29,470.77,6,3,1,0,1,outbound,healthcare,False,1
130,1135.04,13,4,1,2,60,outbound,finance,False,0
10,445.09,3,2,1,1,2,paid_search,ecommerce,False,1
46,275.72,17,6,1,1,14,outbound,saas,False,0
38,393.14,7,3,0,1,9,organic,saas,False,0
76,45.51,8,1,0,3,28,outbound,services,False,0
17,157.04,14,6,1,1,1,social,ecommerce,False,0
37,1271.92,13,3,0,0,19,social,finance,True,1
50,1622.79,10,4,2,1,12,organic,ecommerce,False,1
129,2010.55,13,3,3,1,64,outbound,saas,False,1
71,765.76,16,5,0,1,4,organic,finance,True,1
21,51.62,11,5,0,0,50,organic,ecommerce,False,0
37,261.12,11,2,2,0,22,organic,saas,True,1
111,1853.18,14,1,1,0,16,social,services,False,0
21,2497.52,9,6,1,1,9,organic,saas,False,0
51,1924.94,11,4,1,2,4,outbound,ecommerce,False,0
54,389.07,16,4,0,1,41,social,ecommerce,True,0
40,133.41,10,3,1,0,23,organic,healthcare,False,0
472,473.13,8,7,0,4,28,organic,finance,True,0
39,500.1,11,6,0,1,9,organic,saas,False,0
78,2357.99,6,5,0,1,6,referral,services,False,0
30,618.81,17,3,0,3,14,outbound,healthcare,False,0
83,501.04,13,4,0,4,7,organic,services,False,0
110,530.33,12,2,1,1,29,outbound,services,False,0
34,734.99,11,2,1,0,70,organic,services,False,0
52,921.9,15,2,2,2,22,outbound,healthcare,False,0
27,238.76,17,5,1,0,35,outbound,ecommerce,True,0
22,171.12,9,5,0,1,1,social,ecommerce,False,0
125,1940.22,10,5,1,2,180,social,finance,True,0
35,95.48,20,4,0,4,26,outbound,ecommerce,False,0
8,2534.49,7,5,1,2,17,organic,finance,True,0
224,72.92,11,5,3,2,17,organic,saas,False,1
29,274.64,12,4,2,2,65,organic,services,True,0
45,1302.26,9,2,0,1,2,referral,saas,False,0
203,492.92,8,3,0,1,3,social,services,False,0
49,132.1,15,3,1,0,54,referral,saas,False,0
48,754.78,7,7,1,1,28,outbound,saas,False,0
20,526.9,13,8,0,0,21,organic,services,False,0
15,397.01,18,5,2,3,6,social,services,False,1
48,264.03,14,9,0,1,3,organic,finance,False,0
73,475.99,7,3,1,1,14,paid_search,services,True,0
70,275.36,16,8,0,0,6,social,ecommerce,False,0
37,5622.51,11,2,2,0,43,outbound,services,False,0
55,387.6,18,3,3,0,2,referral,ecommerce,False,0
13,339.08,13,5,1,0,54,organic,healthcare,True,0
79,286.68,15,6,0,2,25,referral,ecommerce,False,0
62,2913.04,14,1,1,0,55,organic,saas,False,0
265,95.67,9,7,0,1,14,outbound,healthcare,False,0
55,705.87,13,4,0,1,24,social,finance,False,0
26,387.89,14,6,0,2,44,organic,saas,False,0
52,118.7,8,2,2,2,56,organic,services,False,1
42,217.22,8,5,2,3,53,organic,healthcare,False,0
77,676.51,13,7,1,2,7,outbound,saas,True,1
56,207.6,14,5,1,1,127,paid_search,healthcare,False,0
20,638.78,9,0,1,0,8,social,saas,False,0
15,2777.07,14,7,1,1,1,referral,saas,True,1
67,584.41,11,4,0,2,10,referral,finance,True,1
165,115.18,10,4,1,1,23,organic,saas,False,1
58,211.28,21,7,0,3,40,outbound,saas,False,0
105,370.4,17,3,1,2,52,paid_search,finance,False,0
123,346.46,13,3,0,3,42,referral,saas,False,0
68,573.65,10,6,0,0,50,social,services,True,0
28,673.47,15,2,0,0,3,referral,finance,False,0
64,2780.89,11,4,2,0,34,outbound,saas,True,0
143,490.92,15,6,0,0,4,organic,healthcare,True,1
83,155.68,13,3,1,1,5,referral,saas,False,1
99,1562.13,11,3,0,0,13,paid_search,healthcare,False,0
38,1742.41,10,3,0,1,15,referral,saas,False,0
46,621.69,5,1,1,0,1,organic,services,True,0
50,385.14,14,2,1,2,48,organic,saas,False,0
52,918.32,8,2,0,0,20,paid_search,finance,True,0
139,398.98,19,4,0,2,2,paid_search,saas,False,0
8,63.07,11,4,1,1,31,paid_search,saas,False,1
56,865.64,7,4,2,2,22,referral,ecommerce,False,1
51,1202.61,22,4,0,2,11,referral,healthcare,False,0
18,2082.01,8,3,1,1,19,paid_search,services,False,0
93,237.28,8,4,2,0,6,paid_search,saas,False,0
31,617.8,14,6,0,2,18,organic,saas,False,0
41,631.31,9,8,2,2,26,referral,ecommerce,True,1
240,536.67,7,3,1,3,33,paid_search,ecommerce,False,0
122,552.72,15,2,1,2,19,organic,services,False,1
86,511.39,13,3,0,1,21,paid_search,services,False,0
74,608.96,13,2,1,0,16,referral,services,False,1
48,1033.47,15,8,2,1,13,organic,saas,False,1
270,1669.51,15,8,1,2,11,referral,ecommerce,False,1
104,231.29,12,5,1,0,26,referral,finance,False,0
30,414.76,13,4,0,2,10,social,ecommerce,True,0
18,322.92,11,2,0,1,7,referral,finance,False,0
86,279.87,6,2,1,2,34,social,saas,False,0
52,97.9,12,5,2,2,1,paid_search,ecommerce,False,0
17,504.83,16,7,0,1,24,social,services,True,0
77,795.78,11,5,0,1,3,referral,ecommerce,False,0
44,421.96,12,7,1,0,21,paid_search,services,True,0
83,488.35,14,1,2,1,38,referral,ecommerce,True,1
78,748.77,10,4,0,1,38,paid_search,saas,False,1
34,2020.54,16,3,0,2,17,referral,ecommerce,False,0
91,323.84,11,7,1,0,6,social,saas,False,0
37,152.69,12,3,0,1,3,outbound,healthcare,True,0
